_id,順位,選手名,チーム,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
147,102,杉浦　稔大,日本ハム,4.78,6,2,2,0,0,0.5,101,26.1,20,2,7,1,24,14,14,1.03,3.2
417,103,本田　圭佑,西武,4.82,8,3,3,0,0,0.5,194,46.2,44,7,16,2,31,26,25,1.29,4.9
241,104,野村　祐輔,広島,4.83,11,3,3,0,0,0.5,242,54,61,2,19,2,30,35,29,1.48,3.6
378,105,ヤングマン,巨人,4.85,8,3,2,0,0,0.6,173,39,37,8,21,3,25,21,21,1.49,6.35
346,106,小川　泰弘,ヤクルト,4.86,13,2,8,0,0,0.2,349,79.2,87,10,21,0,62,50,43,1.36,3.99
77,106,原　樹理,ヤクルト,4.86,12,3,7,0,0,0.3,322,74,85,10,19,5,57,44,40,1.41,4.27
87,108,ボルシンガー,ロッテ,4.87,11,1,3,0,0,0.25,255,57.1,55,12,34,2,51,34,31,1.55,5.95
131,109,松本　航,西武,4.95,7,4,1,0,0,0.8,167,36.1,43,5,19,0,24,20,20,1.71,5.07
133,110,大貫　晋一,DeNA,5.01,10,3,3,0,0,0.5,212,46.2,57,5,18,1,35,26,26,1.61,4.04
453,111,ミランダ,ソフトバンク,5.02,9,3,3,0,0,0.5,196,43,44,8,27,1,25,25,24,1.65,6.33
1,112,バーベイト,日本ハム,5.04,11,2,2,0,0,0.5,109,25,24,5,11,1,19,14,14,1.4,5.64
355,113,田口　麗斗,巨人,5.11,12,0,0,0,2,0,115,24.2,31,4,10,1,24,14,14,1.66,4.5
379,113,ニール,西武,5.11,5,2,1,0,0,0.667,112,24.2,32,2,5,3,10,18,14,1.5,4.34
330,115,石川　歩,ロッテ,5.12,10,3,3,0,0,0.5,253,58,68,7,12,3,35,34,33,1.38,4.21
466,115,武田　翔太,ソフトバンク,5.12,22,3,3,1,6,0.5,230,51,54,2,25,4,50,34,29,1.55,3.37
390,117,高梨　裕稔,ヤクルト,5.37,10,4,4,0,0,0.5,232,52,54,9,22,3,57,32,31,1.46,4.62
472,118,上原　健太,日本ハム,5.57,11,1,3,0,0,0.25,180,42,48,7,8,0,26,29,26,1.33,4.62
20,119,安樂　智大,楽天,5.68,5,0,2,0,0,0,106,25.1,25,4,8,2,12,17,16,1.3,5.41
27,120,福井　優也,楽天,5.7,7,3,1,0,0,0.75,140,30,30,3,23,2,16,19,19,1.77,5.85
94,121,多和田　真三郎,西武,5.77,9,1,3,0,0,0.25,237,53,61,6,19,5,29,34,34,1.51,4.86
218,122,阿知羅　拓馬,中日,5.88,5,1,3,0,0,0.25,109,26,25,9,11,1,18,17,17,1.38,7.39
152,123,アルバース,オリックス,6.11,7,1,2,0,0,0.333,155,35.1,44,9,6,2,21,26,24,1.42,5.92
312,124,榎田　大樹,西武,6.19,6,2,2,0,0,0.5,144,32,40,8,8,3,18,24,22,1.5,6.28
19,125,増井　浩俊,オリックス,6.33,29,1,1,18,3,0.5,125,27,29,2,13,1,32,21,19,1.56,3.16
283,125,京山　将弥,DeNA,6.33,7,0,4,0,0,0,132,27,36,2,19,0,20,21,19,2.04,4.71
311,127,古川　侑利,楽天,6.34,8,1,2,0,0,0.333,170,38.1,37,6,21,0,31,27,27,1.51,5.18
380,128,東浜　巨,ソフトバンク,6.37,7,2,2,0,0,0.5,158,35.1,36,5,23,1,26,26,25,1.67,5.53
62,129,ブキャナン,ヤクルト,6.42,9,1,5,0,0,0.167,212,47.2,57,8,18,1,24,36,34,1.57,5.49
476,130,高橋　奎二,ヤクルト,6.64,9,1,3,0,0,0.25,194,42,43,7,26,4,35,35,31,1.64,5.69
171,130,ガルシア,阪神,6.64,8,2,3,0,0,0.4,196,39.1,63,3,15,1,29,39,29,1.98,3.78
